country,population,gdp,start rating,capital,capital_coor,capital_pop
United States,329484123,"$20,936,600,000,000.00",1,"Washington, D.C.","38.904722, -77.016389 ",692683
China,1402112000,"$14,722,730,697,890.10",0.25,Beijing,"39.906667, 116.3975 ",21540000
Japan,125836021,"$4,975,415,241,562.52",1,Tokyo,"35.683333, 139.766667 ",13960000
Germany,83240525,"$3,846,413,928,653.71",1,Berlin,"52.52, 13.405 ",3645000
United Kingdom,67215293,"$2,707,743,777,173.91",1,London,"51.507222, -0.1275 ",8982000
France,67391582,"$2,630,317,731,455.26",1,Paris,"48.856613, 2.352222 ",2161000
India,1380004385,"$2,622,983,732,006.45",0.75,New Delhi,"28.613895, 77.209006 ",21750000
Italy,59554023,"$1,886,445,268,340.71",1,Rome,"41.883333, 12.5 ",2873000
Canada,38005238,"$1,644,037,286,481.26",1,Ottawa,"45.424722, -75.695 ",994837
South Korea,51780579,"$1,630,525,005,469.11",1,Seoul,"37.56, 126.99 ",9776000
Russian Federation,144104080,"$1,483,497,784,867.60",0.5,Moscow,"55.755833, 37.617222 ",11920000
Brazil,212559409,"$1,444,733,258,971.65",0.5,Brasília,"-15.793889, -47.882778 ",
Australia,25687041,"$1,330,900,925,056.98",1,Canberra,"-35.293056, 149.126944 ",
Spain,47351567,"$1,281,484,640,043.58",1,Madrid,"40.416667, -3.716667 ",
Mexico,128932753,"$1,076,163,316,174.94",1,Mexico City,"19.433333, -99.133333 ",
Indonesia,273523621,"$1,058,423,838,345.14",0.75,Jakarta,"-6.2, 106.816667 ",
Netherlands,17441139,"$913,865,395,789.89",1,Amsterdam,"52.366667, 4.9 ",
Switzerland,8636896,"$752,248,045,730.11",1,Bern,"46.948056, 7.4475 ",
Turkey,84339067,"$720,101,212,394.11",0.75,Ankara,"39.93, 32.85 ",
Saudi Arabia,34813867,"$700,117,873,249.27",0.75,Riyadh,"24.633333, 46.716667 ",
Poland,37950802,"$594,164,690,894.94",1,Warsaw,"52.233333, 21.016667 ",
Sweden,10353442,"$541,063,604,339.72",1,Stockholm,"59.329444, 18.068611 ",
Belgium,11555997,"$515,332,499,627.86",1,Brussels,"50.846667, 4.3525 ",
Thailand,69799978,"$501,794,961,925.24",1,Bangkok,"13.7525, 100.494167 ",
Venezuela,28435943,"$482,359,318,767.70",0.25,Caracas,"10.480556, -66.903611 ",
Nigeria,206139587,"$432,293,776,262.40",0.25,Abuja,"9.066667, 7.483333 ",
Austria,8917205,"$430,947,393,757.51",1,Vienna,"48.208333, 16.3725 ",
Ireland,4994724,"$425,888,950,992.00",1,Dublin,"53.349722, -6.260278 ",
United Arab Emirates,9890400,"$421,142,267,937.37",0.75,Abu Dhabi,"24.466667, 54.366667 ",
Israel,9216900,"$401,953,767,072.80",1,Jerusalem,"31.783333, 35.216667 ",
Argentina,45376763,"$383,066,977,653.56",0.75,Buenos Aires,"-34.603333, -58.381667 ",
Egypt,102334403,"$363,069,245,165.32",0.75,Cairo,"30.033333, 31.233333 ",
Norway,5379475,"$362,522,347,110.36",1,Oslo,"59.913889, 10.752222 ",
Philippines,109581085,"$361,489,354,350.00",0.75,Manila,"14.6, 120.98 ",
Denmark,5831404,"$356,084,867,685.64",1,Copenhagen,"55.676111, 12.568333 ",
Singapore,5685807,"$339,998,477,929.99",1,Singapore,"1.352083, 103.819836 ",
Malaysia,32365998,"$336,664,444,247.04",,Kuala Lumpur,"3.147778, 101.695278 ",
Bangladesh,164689383,"$324,239,176,765.05",,Dhaka,"23.763889, 90.388889 ",
South Africa,59308690,"$301,923,639,269.55",,Johannesburg,"-26.204444, 28.045556 ",
Colombia,50882884,"$271,346,896,626.42",,Bogotá,"4.711111, -74.072222 ",
Vietnam,97338583,"$271,158,442,059.08",,Hanoi,"21.028333, 105.854167 ",
Finland,5530719,"$269,751,312,854.48",,Helsinki,"60.170833, 24.9375 ",
Pakistan,220892331,"$263,686,552,686.21",,,,
Chile,19116209,"$252,940,023,046.01",,,,
Romania,19286123,"$248,715,551,366.64",,,,
Czech Republic,10698896,"$245,349,489,988.26",,,,
Portugal,10305564,"$231,226,743,398.40",,,,
New Zealand,5084300,"$210,886,315,368.53",,,,
Peru,32971846,"$202,014,363,787.23",,,,
Iran,83992953,"$191,718,271,483.76",,,,
Greece,10715549,"$189,410,106,620.02",,,,
Kazakhstan,18754440,"$169,835,426,427.15",,,,
Iraq,40222503,"$167,224,432,560.32",,,,
Ukraine,44134693,"$155,582,008,717.43",,,,
Hungary,9749763,"$155,012,927,629.09",,,,
Qatar,2881060,"$146,373,588,866.51",,,,
Algeria,43851043,"$145,163,902,228.17",,,,
Kuwait,4270563,"$136,196,760,180.98",,,,
Morocco,36910558,"$112,870,591,694.04",,,,
Ethiopia,114963583,"$107,645,054,311.88",,,,
Slovakia,5458827,"$104,574,146,248.36",,,,
Puerto Rico,3194034,"$103,138,300,000.00",,,,
Cuba,11326616,"$103,131,000,000.00",,,,
Kenya,53771300,"$98,842,939,649.11",,,,
Ecuador,17643060,"$98,808,010,000.00",,,,
Sri Lanka,21919000,"$80,706,600,228.65",,,,
Dominican Republic,10847904,"$78,844,702,329.08",,,,
Guatemala,16858333,"$77,604,632,170.59",,,,
Oman,5106622,"$76,331,518,668.58",,,,
Myanmar,54409794,"$76,185,586,096.80",,,,
Luxembourg,632275,"$73,263,982,103.01",,,,
Ghana,31072945,"$72,354,428,864.90",,,,
Bulgaria,6927288,"$69,105,101,089.55",,,,
Tanzania,59734213,"$62,409,748,426.58",,,,
Angola,32866268,"$62,306,913,444.29",,,,
Costa Rica,5094114,"$61,520,669,890.40",,,,
Ivory Coast,26378275,"$61,348,579,465.10",,,,
Belarus,9398861,"$60,258,239,055.58",,,,
Uzbekistan,34232050,"$57,707,189,945.42",,,,
Croatia,4047200,"$55,966,581,780.17",,,,
Lithuania,2794700,"$55,887,271,833.00",,,,
Uruguay,3473727,"$53,628,827,440.36",,,,
Slovenia,2100126,"$53,589,609,580.71",,,,
Serbia,6908224,"$52,960,134,078.69",,,,
Panama,4314768,"$52,938,100,000.00",,,,
Congo,89561404,"$49,868,970,641.11",,,,
Turkmenistan,6031187,"$45,231,428,571.43",,,,
Jordan,10203140,"$43,697,659,275.31",,,,
Azerbaijan,10110116,"$42,607,176,470.59",,,,
Syrian Arab Republic,17500657,"$40,405,006,007.21",,,,
Cameroon,26545864,"$39,802,147,568.22",,,,
Tunisia,11818618,"$39,235,672,868.27",,,,
Bahrain,1701583,"$38,474,521,276.60",,,,
Uganda,45741000,"$37,372,032,557.59",,,,
Bolivia,11673029,"$36,688,861,202.60",,,,
Paraguay,7132530,"$35,304,238,230.11",,,,
Nepal,29136808,"$33,657,175,561.33",,,,
Latvia,1901548,"$33,505,185,228.71",,,,
Lebanon,6825442,"$33,383,246,857.58",,,,
Estonia,1331057,"$30,650,285,471.72",,,,
North Korea,25666161,"$28,500,000,000.00",,,,
Sudan,43849269,"$26,110,829,190.40",,,,
Libya,6871287,"$25,418,461,532.20",,,,
Cambodia,16718971,"$25,291,251,427.40",,,,
Senegal,16743930,"$24,910,904,235.86",,,,
El Salvador,6486201,"$24,638,720,000.00",,,,
Honduras,9904608,"$23,827,840,809.70",,,,
Cyprus,1207361,"$23,804,340,376.93",,,,
Papua New Guinea,8947027,"$23,591,523,025.29",,,,
Yemen,29825968,"$23,486,269,598.99",,,,
Iceland,366425,"$21,718,075,725.21",,,,
Trinidad and Tobago,1399491,"$21,529,824,769.30",,,,
Afghanistan,38928341,"$19,807,067,268.11",,,,
Bosnia and Herzegovina,3280815,"$19,788,422,248.11",,,,
Zambia,18383956,"$19,320,053,859.28",,,,
Laos,7275556,"$19,136,194,848.65",,,,
Mali,20250834,"$17,393,761,397.08",,,,
Burkina Faso,20903278,"$17,369,059,295.22",,,,
Zimbabwe,14862927,"$16,768,513,442.64",,,,
Georgia,3714000,"$15,891,688,903.18",,,,
Botswana,2351625,"$15,781,732,825.89",,,,
Guinea,13132792,"$15,681,050,917.16",,,,
Benin,12123198,"$15,651,545,208.88",,,,
Gabon,2225728,"$15,593,181,270.91",,,,
Albania,2837743,"$14,799,615,097.10",,,,
Malta,525285,"$14,647,384,607.60",,,,
Mozambique,31255435,"$14,021,421,105.91",,,,
Jamaica,2961161,"$13,812,421,803.41",,,,
Madagascar,27691019,"$13,720,634,105.40",,,,
Niger,24206636,"$13,678,234,008.47",,,,
Haiti,11402533,"$13,417,997,065.11",,,,
Mongolia,3278292,"$13,137,128,659.48",,,,
Armenia,2963234,"$12,645,459,213.52",,,,
Nicaragua,6624554,"$12,621,476,263.83",,,,
North Macedonia,2083380,"$12,266,949,805.14",,,,
Brunei Darussalam,437483,"$12,016,056,665.35",,,,
South Sudan,11193729,"$11,997,800,760.22",,,,
Malawi,19129955,"$11,961,848,552.60",,,,
Moldova,2617820,"$11,914,040,905.26",,,,
Channel Islands,173859,"$11,514,605,842.34",,,,
Bahamas,393248,"$11,250,000,000.00",,,,
Mauritius,1265740,"$10,914,065,306.24",,,,
Namibia,2540916,"$10,699,926,682.65",,,,
Rwanda,12952209,"$10,333,991,891.70",,,,
Chad,16425859,"$10,093,118,570.29",,,,
Equatorial Guinea,1402985,"$10,021,856,754.49",,,,
Tajikistan,9537642,"$8,194,150,301.79",,,,
Mauritania,4649660,"$7,778,525,642.93",,,,
Kyrgyzstan,6591600,"$7,735,976,612.64",,,,
Togo,8278737,"$7,574,635,241.30",,,,
Isle of Man,85032,"$7,491,969,312.88",,,,
Monaco,39244,"$7,423,709,839.92",,,,
Guam,168783,"$6,311,000,000.00",,,,
Cayman Islands,65720,"$5,935,769,350.77",,,,
Guyana,786559,"$5,471,256,594.72",,,,
Somalia,15893219,"$4,917,607,582.23",,,,
Montenegro,621718,"$4,778,582,336.18",,,,
Fiji,896444,"$4,376,014,755.58",,,,
Barbados,287371,"$4,365,500,000.00",,,,
Maldives,540542,"$4,030,203,166.77",,,,
Virgin Islands,106290,"$3,984,000,000.00",,,,
Swaziland,1160164,"$3,962,493,092.99",,,,
Sierra Leone,7976985,"$3,865,018,882.90",,,,
Suriname,586634,"$3,807,922,874.48",,,,
French Polynesia,280904,"$3,447,543,137.94",,,,
Djibouti,988002,"$3,384,404,260.07",,,,
Burundi,11890781,"$3,258,187,232.63",,,,
Aruba,106766,"$3,202,188,606.93",,,,
Andorra,77265,"$3,155,065,487.52",,,,
Greenland,56367,"$3,051,626,389.64",,,,
Liberia,5057677,"$2,950,000,000.00",,,,
New Caledonia,271960,"$2,682,347,064.36",,,,
Bhutan,771612,"$2,409,262,838.22",,,,
Central African Republic,4829764,"$2,303,078,337.57",,,,
Eritrea,3213969,"$2,065,001,626.02",,,,
Gambia,2416664,"$1,901,930,157.65",,,,
Lesotho,2142252,"$1,844,510,137.68",,,,
Timor-Leste,1318442,"$1,821,000,000.00",,,,
Belize,397621,"$1,763,696,118.95",,,,
Cape Verde,555988,"$1,703,698,676.70",,,,
Saint Lucia,183629,"$1,703,364,240.74",,,,
Solomon Islands,686878,"$1,551,245,525.60",,,,
Guinea-Bissau,1967998,"$1,431,758,242.90",,,,
Antigua and Barbuda,97928,"$1,415,059,259.26",,,,
Comoros,869595,"$1,219,690,024.50",,,,
Northern Mariana Islands,57557,"$1,182,000,000.00",,,,
Seychelles,98462,"$1,124,937,500.00",,,,
Saint Kitts and Nevis,53192,"$927,451,851.85",,,,
Vanuatu,307150,"$854,793,640.15",,,,
Saint Vincent and the Grenadines,110947,"$809,681,481.48",,,,
Samoa,198410,"$807,027,244.42",,,,
American Samoa,55197,"$638,000,000.00",,,,
Tonga,105697,"$512,350,059.42",,,,
Sao Tome and Principe,219161,"$472,914,469.92",,,,
Dominica,71991,"$469,870,370.37",,,,
Palau,18092,"$268,354,900.00",,,,
Marshall Islands,59194,"$239,462,200.00",,,,
Kiribati,119446,"$199,573,325.99",,,,
