country,population,gdp
United States,329484123.0,20936600000000.0
China,1402112000.0,14722730697890.1
Japan,125836021.0,4975415241562.52
Germany,83240525.0,3846413928653.71
United Kingdom,67215293.0,2707743777173.91
France,67391582.0,2630317731455.26
India,1380004385.0,2622983732006.45
Italy,59554023.0,1886445268340.71
Canada,38005238.0,1644037286481.26
South Korea,51780579.0,1630525005469.11
Russian Federation,144104080.0,1483497784867.6
Brazil,212559409.0,1444733258971.65
Australia,25687041.0,1330900925056.98
Spain,47351567.0,1281484640043.58
Mexico,128932753.0,1076163316174.94
Indonesia,273523621.0,1058423838345.14
Netherlands,17441139.0,913865395789.886
Switzerland,8636896.0,752248045730.11
Turkey,84339067.0,720101212394.114
Saudi Arabia,34813867.0,700117873249.269
Poland,37950802.0,594164690894.936
Sweden,10353442.0,541063604339.715
Belgium,11555997.0,515332499627.861
Thailand,69799978.0,501794961925.244
Venezuela,28435943.0,482359318767.703
Nigeria,206139587.0,432293776262.398
Austria,8917205.0,430947393757.511
Ireland,4994724.0,425888950992.003
United Arab Emirates,9890400.0,421142267937.372
Israel,9216900.0,401953767072.801
Argentina,45376763.0,383066977653.56
Egypt,102334403.0,363069245165.315
Norway,5379475.0,362522347110.364
Philippines,109581085.0,361489354350.0
Denmark,5831404.0,356084867685.639
Singapore,5685807.0,339998477929.985
Malaysia,32365998.0,336664444247.042
Bangladesh,164689383.0,324239176765.053
South Africa,59308690.0,301923639269.552
Colombia,50882884.0,271346896626.418
Vietnam,97338583.0,271158442059.082
Finland,5530719.0,269751312854.475
Pakistan,220892331.0,263686552686.208
Chile,19116209.0,252940023046.011
Romania,19286123.0,248715551366.635
Czech Republic,10698896.0,245349489988.26
Portugal,10305564.0,231226743398.402
New Zealand,5084300.0,210886315368.533
Peru,32971846.0,202014363787.233
Iran,83992953.0,191718271483.759
Greece,10715549.0,189410106620.016
Kazakhstan,18754440.0,169835426427.153
Iraq,40222503.0,167224432560.319
Ukraine,44134693.0,155582008717.426
Hungary,9749763.0,155012927629.087
Qatar,2881060.0,146373588866.511
Algeria,43851043.0,145163902228.168
Kuwait,4270563.0,136196760180.976
Morocco,36910558.0,112870591694.044
Ethiopia,114963583.0,107645054311.876
Slovakia,5458827.0,104574146248.364
Puerto Rico,3194034.0,103138300000.0
Cuba,11326616.0,103131000000.0
Kenya,53771300.0,98842939649.1149
Ecuador,17643060.0,98808010000.0
Sri Lanka,21919000.0,80706600228.6499
Dominican Republic,10847904.0,78844702329.0785
Guatemala,16858333.0,77604632170.5853
Oman,5106622.0,76331518668.5771
Myanmar,54409794.0,76185586096.7974
Luxembourg,632275.0,73263982103.0119
Ghana,31072945.0,72354428864.9032
Bulgaria,6927288.0,69105101089.5531
Tanzania,59734213.0,62409748426.5824
Angola,32866268.0,62306913444.2917
Costa Rica,5094114.0,61520669890.4037
Ivory Coast,26378275.0,61348579465.1017
Belarus,9398861.0,60258239055.5829
Uzbekistan,34232050.0,57707189945.4214
Croatia,4047200.0,55966581780.1688
Lithuania,2794700.0,55887271833.0025
Uruguay,3473727.0,53628827440.3582
Slovenia,2100126.0,53589609580.7099
Serbia,6908224.0,52960134078.6888
Panama,4314768.0,52938100000.0
Congo,89561404.0,49868970641.1062
Turkmenistan,6031187.0,45231428571.4286
Jordan,10203140.0,43697659275.3137
Azerbaijan,10110116.0,42607176470.5882
Syrian Arab Republic,17500657.0,40405006007.2086
Cameroon,26545864.0,39802147568.2174
Tunisia,11818618.0,39235672868.2722
Bahrain,1701583.0,38474521276.5957
Uganda,45741000.0,37372032557.5944
Bolivia,11673029.0,36688861202.6049
Paraguay,7132530.0,35304238230.1132
Nepal,29136808.0,33657175561.329
Latvia,1901548.0,33505185228.7067
Lebanon,6825442.0,33383246857.58
Estonia,1331057.0,30650285471.7215
North Korea,25666161.0,28500000000.0
Sudan,43849269.0,26110829190.4008
Libya,6871287.0,25418461532.2008
Cambodia,16718971.0,25291251427.3979
Senegal,16743930.0,24910904235.857
El Salvador,6486201.0,24638720000.0
Honduras,9904608.0,23827840809.7014
Cyprus,1207361.0,23804340376.9275
Papua New Guinea,8947027.0,23591523025.2864
Yemen,29825968.0,23486269598.9858
Iceland,366425.0,21718075725.2054
Trinidad and Tobago,1399491.0,21529824769.2969
Afghanistan,38928341.0,19807067268.1084
Bosnia and Herzegovina,3280815.0,19788422248.1072
Zambia,18383956.0,19320053859.279
Laos,7275556.0,19136194848.6534
Mali,20250834.0,17393761397.0805
Burkina Faso,20903278.0,17369059295.2226
Zimbabwe,14862927.0,16768513442.6415
Georgia,3714000.0,15891688903.1843
Botswana,2351625.0,15781732825.8934
Guinea,13132792.0,15681050917.1588
Benin,12123198.0,15651545208.8783
Gabon,2225728.0,15593181270.9135
Albania,2837743.0,14799615097.1008
Malta,525285.0,14647384607.604
Mozambique,31255435.0,14021421105.9078
Jamaica,2961161.0,13812421803.4084
Madagascar,27691019.0,13720634105.403
Niger,24206636.0,13678234008.4714
Haiti,11402533.0,13417997065.1099
Mongolia,3278292.0,13137128659.479
Armenia,2963234.0,12645459213.5235
Nicaragua,6624554.0,12621476263.8278
North Macedonia,2083380.0,12266949805.1436
Brunei Darussalam,437483.0,12016056665.3473
South Sudan,11193729.0,11997800760.2242
Malawi,19129955.0,11961848552.5977
Moldova,2617820.0,11914040905.2626
Channel Islands,173859.0,11514605842.3369
Bahamas,393248.0,11250000000.0
Mauritius,1265740.0,10914065306.2423
Namibia,2540916.0,10699926682.6513
Rwanda,12952209.0,10333991891.7032
Chad,16425859.0,10093118570.2918
Equatorial Guinea,1402985.0,10021856754.4944
Tajikistan,9537642.0,8194150301.78552
Mauritania,4649660.0,7778525642.92883
Kyrgyzstan,6591600.0,7735976612.64163
Togo,8278737.0,7574635241.30191
Isle of Man,85032.0,7491969312.87525
Monaco,39244.0,7423709839.9194
Guam,168783.0,6311000000.0
Cayman Islands,65720.0,5935769350.77403
Guyana,786559.0,5471256594.72422
Somalia,15893219.0,4917607582.22895
Montenegro,621718.0,4778582336.18234
Fiji,896444.0,4376014755.57615
Barbados,287371.0,4365500000.0
Maldives,540542.0,4030203166.77482
Virgin Islands,106290.0,3984000000.0
Swaziland,1160164.0,3962493092.99308
Sierra Leone,7976985.0,3865018882.89755
Suriname,586634.0,3807922874.48306
French Polynesia,280904.0,3447543137.9415
Djibouti,988002.0,3384404260.07202
Burundi,11890781.0,3258187232.63159
Aruba,106766.0,3202188606.92893
Andorra,77265.0,3155065487.51819
Greenland,56367.0,3051626389.63671
Liberia,5057677.0,2950000000.0
New Caledonia,271960.0,2682347064.3642
Bhutan,771612.0,2409262838.21987
Central African Republic,4829764.0,2303078337.57431
Eritrea,3213969.0,2065001626.01626
Gambia,2416664.0,1901930157.64528
Lesotho,2142252.0,1844510137.67817
Timor-Leste,1318442.0,1821000000.0
Belize,397621.0,1763696118.9519
Cape Verde,555988.0,1703698676.69742
Saint Lucia,183629.0,1703364240.74074
Solomon Islands,686878.0,1551245525.6045
Guinea-Bissau,1967998.0,1431758242.90375
Antigua and Barbuda,97928.0,1415059259.25926
Comoros,869595.0,1219690024.50287
Northern Mariana Islands,57557.0,1182000000.0
Seychelles,98462.0,1124937500.0
Saint Kitts and Nevis,53192.0,927451851.851852
Vanuatu,307150.0,854793640.145606
Saint Vincent and the Grenadines,110947.0,809681481.481481
Samoa,198410.0,807027244.42138
American Samoa,55197.0,638000000.0
Tonga,105697.0,512350059.421629
Sao Tome and Principe,219161.0,472914469.91933
Dominica,71991.0,469870370.37037
Palau,18092.0,268354900.0
Marshall Islands,59194.0,239462200.0
Kiribati,119446.0,199573325.992705
